accession	category	organism	description
NP_001290746.1	Sm-core (eukaryote)	Esox lucius	small nuclear ribonucleoprotein Sm D2
XP_040575091.1	Sm-core (eukaryote)	Lepeophtheirus salmonis	small nuclear ribonucleoprotein Sm D2
XP_067133695.1	Sm-core (eukaryote)	Centruroides vittatus	small nuclear ribonucleoprotein Sm D2
XP_014275538.1	Sm-core (eukaryote)	Halyomorpha halys	probable small nuclear ribonucleoprotein Sm D2 isoform X3
XP_072381113.1	Sm-core (eukaryote)	Diabrotica undecimpunctata	small ribonucleoprotein particle protein SmD2
XP_014275537.1	Sm-core (eukaryote)	Halyomorpha halys	probable small nuclear ribonucleoprotein Sm D2 isoform X2
XP_077303046.1	Sm-core (eukaryote)	Arctopsyche grandis	small ribonucleoprotein particle protein SmD2
XP_065207156.1	Sm-core (eukaryote)	Planococcus citri	small nuclear ribonucleoprotein-associated protein B
NP_594151.1	Sm-core (eukaryote)	Schizosaccharomyces pombe	Sm snRNP core protein Smb1
XP_074064924.1	Other		(not in type map)
XP_084186497.1	Lsm (eukaryote)	Notolepis coatsorum	LSM8 homolog, U6 small nuclear RNA associated
XP_079161044.1	Lsm (eukaryote)	Erithacus rubecula	LSM8 homolog, U6 small nuclear RNA associated isoform 1
XP_081897285.1	Lsm (eukaryote)	Branta canadensis	LSM8 homolog, U6 small nuclear RNA associated isoform 3
XP_029351423.1	Lsm (eukaryote)	Echeneis naucrates	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_073184268.1	Lsm (eukaryote)	Lepidochelys kempii	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_020426952.1	Lsm (eukaryote)	Heterostelium album PN500	U6 snRNA-associated Sm-like protein LSm8
XP_036920101.1	Lsm (eukaryote)	Sturnira hondurensis	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_075003277.1	Lsm (eukaryote)	Calonectris borealis	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_070225434.1	Lsm (eukaryote)	Bos mutus	LSM8 homolog, U6 small nuclear RNA associated isoform X5
XP_070225433.1	Lsm (eukaryote)	Bos mutus	LSM8 homolog, U6 small nuclear RNA associated isoform X4
XP_070225431.1	Lsm (eukaryote)	Bos mutus	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_067171280.1	Lsm (eukaryote)	Apteryx mantelli	LSM8 homolog, U6 small nuclear RNA associated isoform X2
XP_080521656.1	Lsm (eukaryote)	Plecotus auritus	LSM8 homolog, U6 small nuclear RNA associated isoform 1
XP_063671614.1	Lsm (eukaryote)	Pan troglodytes	LSM8 homolog, U6 small nuclear RNA associated isoform X3
XP_045047544.1	Lsm (eukaryote)	Desmodus rotundus	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_064558762.1	Lsm (eukaryote)	Zonotrichia leucophrys gambelii	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_077035095.1	Lsm (eukaryote)	Agelaius phoeniceus	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_063523863.1	Lsm (eukaryote)	Pongo pygmaeus	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_079161045.1	Lsm (eukaryote)	Erithacus rubecula	LSM8 homolog, U6 small nuclear RNA associated isoform 2
XP_071589815.1	Lsm (eukaryote)	Heliangelus exortis	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_063671613.1	Lsm (eukaryote)	Pan troglodytes	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_034501531.1	Lsm (eukaryote)	Ailuropoda melanoleuca	LSM8 homolog, U6 small nuclear RNA associated, partial
XP_065516212.1	Lsm (eukaryote)	Lathamus discolor	LSM8 homolog, U6 small nuclear RNA associated
XP_082328565.1	Lsm (eukaryote)	Balaenoptera physalus	LSM8 homolog, U6 small nuclear RNA associated isoform 1
XP_077851187.1	Lsm (eukaryote)	Macaca mulatta	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_078732566.1	Lsm (eukaryote)	Lampetra fluviatilis	LSM8 homolog, U6 small nuclear RNA associated
XP_073429458.1	Lsm (eukaryote)	Dendrobates tinctorius	LSM8 homolog, U6 small nuclear RNA associated isoform X1
XP_010167140.2	Lsm (eukaryote)	Antrostomus carolinensis	LSM8 homolog, U6 small nuclear RNA associated
